,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,4494,"RT @anonymized_account rozjebala się jak Rosja na mapie i siedzi kurwa
",0,pl,RT @anonymized_account spread like Russia on the map and sits fucking  
1,1,5330,"@anonymized_account Ty debili, zapytaj się swojego premiera gdzie kwiatki dzisiaj składał
",0,pl,"@anonymized_account You moron, ask your prime minister where he was putting flowers today  "
2,2,8654,"@anonymized_account @anonymized_account @anonymized_account Było. W każdych zimowych wiadomościach od X lat :)
",0,pl,@anonymized_account @anonymized_account @anonymized_account Was. In every winter news from X years :)  
3,3,4440,"@anonymized_account Znaczy nie normalne, ale jest
",0,pl,"@anonymized_account I mean, it's not normal, but it is  "
4,4,8408,"Jak będziesz tak walczył to zostaniesz @anonymized_account roku w 2090 \nhttps://t.co/PQDsUHpCch
",0,pl,"If you fight like this, you'll be the @anonymized_account year in 2090https://t.co/PQDsUHpCch  "
5,5,9221,"potrzebuję czerwonych szpilek, to byłby 100 pkt do pewności siebie
",0,pl,"I need red high heels, that would be 100 points for confidence  "
6,6,5816,"@anonymized_account Skurwysyn liczy na kolejną kasę???
",0,pl,@anonymized_account Motherfucker counts on another cash ???  
7,7,9512,"@anonymized_account Moim zdaniem to jesteś sfrustrowanym człowieczkiem przez pomyłkę kiedyś nazwanym dziennikarzem.
",1,pl,"@anonymized_account In my opinion, you are a frustrated man mistakenly named once a journalist.  "
8,8,8851,"@anonymized_account Dlaczego nikt nie mówi o „Witches of East End”? Kocham mocniutko
",0,pl,"@anonymized_account Why doesn't anyone talk about ""Witches of East End""? I love you very much  "
9,9,3637,"RT @anonymized_account @anonymized_account W końcu ktoś ma te same przypuszczenia! Bo jak się pytam to nikt nie wie kto to, ta Natalka😂😂😂
",0,pl,"RT @anonymized_account @anonymized_account After all, someone has the same guesses! Because when I ask, nobody knows who it is, this Natalka😂😂😂  "
10,10,4918,"@anonymized_account @anonymized_account @anonymized_account Jak wygrywaliście to była gadka, że zdobywacie 1,5 pkt.
",0,pl,@anonymized_account @anonymized_account @anonymized_account When you won it was a saying that you get 1.5 points.  
11,11,5208,"gdzie są jakieś fajne braletki koronkowe?
",0,pl,where are some nice lace bralettes?  
12,12,263,"@anonymized_account E tam! To z miłości do Łodzi😁. I przyjdzie do PiS😁😁
",0,pl,@anonymized_account E over there! It's for the love of Łódź😁. And he will come to PiS😁😁  
13,13,7974,"@anonymized_account Jestem chętny :) w weekend kupię fifke to można zagrać pare meczyków to zobacze jaki poziom ligi xD
",0,pl,@anonymized_account I'm willing :) I will buy a fifth at the weekend and you can play a few games and see what level of league xD  
14,14,6315,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account ,publicznie się chwali że chodził do burdelu za swoje pieniądze. Kozak
",0,pl,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account, publicly boasts that he went to a brothel for his money. Cossack  "
15,15,347,"@anonymized_account Straszny gangster jak po wolności chodzi
",0,pl,@anonymized_account Scary gangster walks on freedom  
16,16,9232,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account Już nie róbcie z gościa kaleki 😉
",0,pl,@anonymized_account @anonymized_account @anonymized_account @anonymized_account Don't make a crippy guest anymore 😉  
17,17,6344,"@anonymized_account Nie martw się, to nie jest wcale takie łatwe, trzeba mieć tez dużo szczęścia w tym wszystkim 💕
",0,pl,"@anonymized_account Don't worry, it's not that easy, you also have to be very lucky in all this 💕  "
18,18,5687,"@anonymized_account Czy to twoja @anonymized_account ??😁😁 Hehehehehe😁
",0,pl,@anonymized_account Is this your @anonymized_account ?? 😁😁 Hehehehehe😁  
19,19,9108,"Banda patafianów z Caballero na czele na boisku, a zmieniamy Aguero na Higuaina. Drugi do zmiany Pavon. 😂
",1,pl,"A bunch of Caballero patatafooters on the pitch, and we are changing Aguero to Higuaina. Second to change Pavon. 😂  "
20,20,3797,"@anonymized_account Tak, to amfora szyjowa panatenajska o pojemności podróżnej. Czyli, że do samolotu można.
",0,pl,"@anonymized_account Yes, this is a Panatenai neck amphora with travel capacity. So you can go to the plane.  "
21,21,5649,"@anonymized_account @anonymized_account Was pojebało tak jak sędziowie to złodzieje, to policjanci to ćpuny, renciści, emeryci, albo kombinatorzy
",0,pl,"@anonymized_account @anonymized_account Fucked you like judges are thieves, cops are junkies, pensioners, pensioners, or combinators  "
22,22,1212,"RT @anonymized_account @anonymized_account ich girl power ogranicza się do koszulek z sinsaya
",0,pl,RT @anonymized_account @anonymized_account their girl power is limited to t-shirts with sinsaya  
23,23,2865,"@anonymized_account Bo ja  jestem proszę pana na zakręcie, pan dzieli każdą zimę, każdy świt na pół  @anonymized_account
",0,pl,"@anonymized_account Because I'm sir, I'm on the bend, you're dividing every winter, every dawn in half @anonymized_account  "
24,24,3645,"@anonymized_account @anonymized_account mniejsza ? A na euro 12 w ktorym meczu zostalismy tak rozgromieni ?
",0,pl,@anonymized_account @anonymized_account smaller? And at Euro 12 in which match were we so defeated?  
25,25,5805,"Dostałam unf od dziewczyny która kojarzyłam :\\
",0,pl,I got an unf from a girl I knew:  
26,26,2619,"@anonymized_account To koledzy z politechniki, nie filozofii 😎
",0,pl,"@anonymized_account These are colleagues from polytechnic, not philosophy 😎  "
27,27,2632,"Narodowcy na marszu w Warszawie krzyczeli: „Tu jest Polska nie Izrael” trzymając w rękach plakat z Jezusem.
",0,pl,"Nationalists on the march in Warsaw shouted: ""Here is Poland, not Israel"" holding a poster with Jesus in his hands.  "
28,28,1824,"RT @anonymized_account I kończąc temat: gdyby tak jak Mączyński zagrał Furman, to by się pół Twittera zesrało z wrażenia. Bo z Legii.
",0,pl,"RT @anonymized_account And ending the topic: if Furman played like Mączyński, half of Twitter would be impressed. Because of Legia.  "
29,29,2858,"@anonymized_account @anonymized_account Czyli przeciwko niemu zagramy pięć dni wcześniej, niż było to pierwotnie planowane 😂
",0,pl,@anonymized_account @anonymized_account So we will play against him five days earlier than originally planned 😂  
30,30,6311,"O, teraz problemem jest Góralski. Urocze.
",0,pl,"Oh, now Góralski is the problem. Cute.  "
31,31,243,"@anonymized_account To było dawno, jeszcze nie znali fotoszopa
",0,pl,"@anonymized_account It was a long time ago, they didn't know the photo shoot yet  "
32,32,7692,"@anonymized_account @anonymized_account Po prostu normalnie spierdoliłeś z tamtąd i nie dorabiają do tego teorii.
",0,pl,@anonymized_account @anonymized_account You just fucked up normally and you don't have a theory to do it.  
33,33,5097,"@anonymized_account To nie jest 'az'. Jak przedłużyl to wiadomo, że do następnej dużej imprezy.
",0,pl,"@anonymized_account This is not 'az'. As he extended, it is known that until the next big event.  "
34,34,3201,"Dzwonił kumpel i pytał dlaczego w #krk jest coraz mniej łabędzi?\n- Bo #Gowin  szybciej do chleba dopływa. \n#życie
",0,pl,
35,35,945,"Kto chce do  mnie napisać elo  #napiszdoprzypadkowegotwitterowicza
",0,pl,Who wants to write to me?  
36,36,1692,"@anonymized_account A komu te pieniądze rozdaje, Kosmitom\""\\?
",0,pl,"@anonymized_account And who is giving this money to aliens ""\?  "
37,37,8030,"Jak to jest \""wystawić jak ciasteczko na tacy\"" i \""grać z kija\""? #POLMNE⚽
",0,pl,"What is it like to ""stick out like a cookie on a tray"" and ""play with a stick""? # POLMNE⚽  "
38,38,3116,"Dziedziczne wykonawcy R.U.T.A. \u0026amp; Paprika Korps\nhttps://t.co/jbjOVH8xA7
",0,pl,Translation error
39,39,4206,"@anonymized_account Oczywiście pisze to z szacunku do jego PLN dawał z miłości nie z chęci zysku żeby ktoś źle nieodebral mojego tweeta
",0,pl,"@anonymized_account Of course, he writes it out of respect for his PLN he gave out of love not for profit so that someone would not miss my tweet  "
40,40,4156,"@anonymized_account Nie wiem, jak w ogóle w tym meczu z Włochami można szukać po naszej stronie jakiegokolwiek \""dyrygenta\"" 😜
",0,pl,"@anonymized_account I don't know how to look for any ""conductor"" on our side at all in this match with Italy 😜  "
41,41,6877,"@anonymized_account Jaki tel do 1500 zł, prosze lg g6 odpowiedz
",0,pl,"@anonymized_account What phone up to PLN 1,500, please lg g6 answer  "
42,42,357,"@anonymized_account Bo w \""10\"" już grają przez Boatenga ;)
",0,pl,"@anonymized_account Bo in ""10"" already play by Boateng;)  "
43,43,3595,"@anonymized_account Szczęście całe że nie w moim mieście
",0,pl,@anonymized_account Happiness is all in my city  
44,44,3800,"@anonymized_account @anonymized_account Tak inteligentne pytanie jak Twoje można zadać wyłącznie patrząc w lustro.
",0,pl,@anonymized_account @anonymized_account An intelligent question like yours can only be asked when looking in the mirror.  
45,45,1673,"@anonymized_account @anonymized_account @anonymized_account Ale myślałem, że rozmawiamy o kasie którą mogą przeznaczyć na transfery ?
",0,pl,
46,46,1068,"o chuj paweł w przyjaciółkach nie żyje?????
",0,pl,oh fuck Paweł in friends is dead ?????  
47,47,9699,"RT @anonymized_account Lesbijka z Irlandii podle atakuje prawdziwie chrześcijański Rząd najjaśniejszej Rzeczypospolitej. Co za podłość...
",1,pl,RT @anonymized_account Lesbian from Ireland is attacking the truly Christian Government of the brightest Commonwealth. What a meanness ...  
48,48,9166,"Idę jutro na pobranie krwi znowu
",0,pl,I'm going to take blood tomorrow again  
49,49,4084,"@anonymized_account @anonymized_account No to @anonymized_account  już przepadł😁😁
",0,pl,@anonymized_account @anonymized_account Well to @anonymized_account is already gone  
50,50,3531,"Papież Benedykt 16  do Auschwitz udał się  limuzyną z ochroną
",0,pl,Pope Benedict 16 went to Auschwitz with a security limousine  
51,51,5268,"@anonymized_account J Szajben Wielgus była by na pewno lepszą
",0,pl,@anonymized_account J Szajben Wielgus would definitely be better  
52,52,5822,"RT @anonymized_account @anonymized_account @anonymized_account Nie wiem czy mają świetnie czy nie, wiem kto ich chciał rozpiżdżyć w drobny mak.
",0,pl,"RT @anonymized_account @anonymized_account @anonymized_account I do not know if they are great or not, I know who wanted to break them into a small poppy.  "
53,53,5999,"@anonymized_account Przeczytałam że je powąchasz 😂
",0,pl,@anonymized_account I read that you smell them 😂  
54,54,4880,"Najfajniejsze w nowej książce Zafóna jest to, że ma 885 stron i jeszcze 884 przede mną 😍 Czytaliście już?
",0,pl,The coolest thing in Zafón's new book is that it has 885 pages and 884 before me 😍 Have you read?  
55,55,1259,"Myślałam, że znowu porwano statek na którym jest M... tego już było by za dużo
",0,pl,I thought that the ship on which M was again hijacked would be too much  
56,56,8532,"@anonymized_account mam na myśli to że jeśli wliczani są w to trenerzy tymczasowi to statystyka jest zakłamana.Chyba że to była ironia.
",0,pl,"@anonymized_account I mean, if temporary trainers are included, the statistics are false. Unless it was ironic.  "
57,57,8524,"@anonymized_account @anonymized_account Pożycz sprzęt od tych co koszulki wystrzeliwali ostatnio na meczu :)
",0,pl,@anonymized_account @anonymized_account Borrow equipment from those who have recently fired shirts at the match :)  
58,58,1871,"@anonymized_account O to tak jak ja, zresztą tak jak rok temu, dzień po moich urodzinach 😂😂
",0,pl,"@anonymized_account This is just like me, just like a year ago, the day after my birthday 😂😂  "
59,59,1869,"@anonymized_account @anonymized_account @anonymized_account Nigdzie to nie zostało wyszczególnione i nie wiem, co to ma do rzeczy.
",0,pl,@anonymized_account @anonymized_account @anonymized_account This is nowhere specified and I don't know what that has to do with it.  
60,60,9677,"@anonymized_account To ja juz chyba wiem kto 😁 słońce trzymam za was kciuki 🙈
",0,pl,
61,61,9043,"Jaki dramatyzm w tych barwach szczęścia
",0,pl,What drama in these colors of happiness  
62,62,8513,"@anonymized_account Oficjalne info o transmisji meczu Spartak - Legia pojawiło się w poniedziałek, czyli dzień przed meczem.
",0,pl,"@anonymized_account Official info about the broadcast of the Spartak - Legia match appeared on Monday, the day before the match.  "
