,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,1067,"@luchotebar  Cuando sea un independentista con juego limpio, le invitaré a comer.",0,es,"@luchotebar When I am an independentist with fair play, I will invite you to eat.  "
1,1,1735,"Si discrepas de lo progre en #BoicotALosGoya eres un fascista, miembro del heteropatriarcado opresor y puede que asesinaras a Kennedy.",0,es,"If you disagree with the progress in #BoicotALosGoya, you are a fascist, a member of the oppressive hetero-patriarchy and you might have killed Kennedy.  "
2,2,1931,"Soy una taza, una tetera, un plato hondo, un subnormal https://t.co/lbDi57BNhL",0,es,"I am a cup, a teapot, a deep plate, a subnormal https://t.co/lbDi57BNhL  "
3,3,4264,Esperando reacciones de los perroflautas de #podemos https://t.co/Y7T4j9jQd3,1,es,Waiting for reactions from the perroflauts of #pops https://t.co/Y7T4j9jQd3  
4,4,3657,Me parto con los fachas de Twitter que apoyan a tope a los kurdos de Rojava sin tener ni puta idea de lo que significa eso políticamente.,1,es,I start with the facades of Twitter that fully support the Kurds of Rojava without having a fucking idea of what that means politically.  
5,5,5277,"@esparver Un canari LeT amb la bandera europea. Un subnormal, vaja.",1,es,"@esparver A canari LeT amb the European flag. A subnormal, vaja.  "
6,6,103,Eso lo acaba de decir mi Cari por wassap.  Capela maricón,0,es,That is what my Cari just said by wassap. Capela fag  
7,7,4267,Los grandes multimedia gringos azuzan el golpe de Estado anti-Trump https://t.co/zjC49Z7FEb https://t.co/FcwYla5b15,0,es,The great multimedia gringos azuzan the anti-Trump coup d'etat https://t.co/zjC49Z7FEb https://t.co/FcwYla5b15  
8,8,5506,Las diez ciudades más importantes de Cataluña son de C's. Ojo a la ruralización del movimiento separatista,0,es,The ten most important cities in Catalonia are from C's. Eye to the ruralization of the separatist movement  
9,9,3990,@Felipeward mal por apoyar bus transfobico y organizaciones extremistas q desinforman y promueven odio. 'Ideologia de genero' no existe!,0,es,@Felipeward badly for supporting transphobic bus and extremist organizations that misinform and promote hate. 'Gender ideology' does not exist!  
10,10,5795,@JordiWild en % de votos la mayoría no es independentista.. xD es la Ley electoral  la que ha favorecido a los independentistas igual que favoreció a la  corruPPción en otras elecciones xD,0,es,
11,11,3580,Esto es un gilipollas homófobo llorando por una imagen de un niño dándole un pico a su padre. https://t.co/3ajWrMYDRy,0,es,This is a homophobic asshole crying for an image of a boy giving his father a pick. https://t.co/3ajWrMYDRy  
12,12,33,@7Josean7 @Zurine3 @MiGorrotxategi @RoberUriarte @MonederoJC los dos sois estupendas y @Zurine3 ha defendido el feminismo y la dignidad,0,es,@ 7Josean7 @ Zurine3 @MiGorrotxategi @RoberUriarte @MonederoJC you are both great and @ Zurine3 has defended feminism and dignity  
13,13,5564,Dar charlas estaba bien pero a Travelo le preocupaba su actitud.,0,es,Giving talks was fine but Travelo was worried about his attitude.  
14,14,5898,Tiene su coña que los votos del Sí el #1O sean clavados a los del bloque independentista hoy.  #EleccionesCataluña,0,es,It has its name that the votes of Yes # 1O are nailed to those of the independence bloc today. # ElectionsCatalonia  
15,15,5707,"Los discursos d los partidos independentistas hablando aun d la mayoria catalana como independentista cuando en votos es todo lo contrario... no es manipular! Discursos d guerra, continuan con el fanatismo y el supremacismo q los caracteriza. El futuro se ve ⚫️. Es triste! #21d",0,es,"The speeches of the independence parties speaking even of the Catalan majority as independence when in votes it is quite the opposite ... is not manipulate! Speeches d war, continue with the fanaticism and supremacism that characterizes them. The future looks ⚫️. It's sad! # 21d  "
16,16,3002,@R3dWarri0r llega un monento en el que se calla el analfabeto y empieza a hablar el fascista.,0,es,@ R3dWarri0r comes a time when the illiterate is silent and the fascist begins to speak.  
17,17,2734,"Hay que ser subnormal para que te empaten este partido. Subnormal. A sufrir, a sufrir, a sufrir y a sufrir. ¿Sorprende? NO",1,es,"You have to be subnormal to be tied this game. Subnormal. To suffer, to suffer, to suffer and to suffer. Do you surprise? DO NOT  "
18,18,4272,@DalasReview coño bloqueame ya no subnormal??,1,es,@DalasReview pussy block me no longer subnormal ??  
19,19,3083,"@LineaDeKaos @gatalopez_ @prepuciosalamar @LluviaKaotika No, aquí el idioma de los gringos de mierda no usamos",1,es,"@LineaDeKaos @gatalopez_ @prepuciosalamar @LluviaKaotika No, here the language of shit gringos we don't use  "
20,20,2028,joder es verdad gracias por abrirme los ojos CANCELAD EL FEMINISMO NIÑAS YA NO HACE FALTA https://t.co/SXMTTB7k90,0,es,fuck is true thank you for opening my eyes CANCEL FEMINISM GIRLS NO LONGER MISSING https://t.co/SXMTTB7k90  
21,21,3381,"@DaniAlvesD2 Vete a la mierda malparido.Y si no es por plata,explícanos porqué te vas.Jodete tu y la otra marica de Guardiola.",1,es,"@ DaniAlvesD2 Fuck you badly. And if it's not for money, explain to us why you're leaving. Fuck you and the other fag of Guardiola.  "
22,22,5604,España puede mantener el bloqueo al grupo independentista evitando el voto de los parlamentarios electos que tiene prisioneros más a los que piensa meter en prisión. Esto parecerá la Sudáfrica del apartheid. Rajoy lo hará sin ningún problema de conciencia democrática.,0,es,Spain can maintain the blockade of the independence group by avoiding the vote of elected parliamentarians who have more prisoners than those they plan to put in prison. This will look like apartheid South Africa. Rajoy will do it without any problem of democratic conscience.  
23,23,4278,"@ChViguria Tranquila. Como no soy un subnormal, no voy a San Fermín.",0,es,"@ChViguria Quiet. Since I am not a subnormal, I do not go to San Fermin.  "
24,24,763,"Gustavito, t queremos eres parte d la familia, y aunq seas un usurero enano conyón, Gustavito, t queremos! (fuera del país)  @GusCamisetas",0,es,"Gustavito, we love you, you are part of the family, and even if you are a dwarf usurer conyón, Gustavito, we don't want to! (outside the country) @GusCam Camisetas  "
25,25,4735,@almaiaisreal Alfred es independentista,0,es,@almaiaisreal Alfred is independentista  
26,26,2218,"Cuanto más comes, más mierda te metes en el cuerpo. La sociedad moderna tiene muchos agujeros negros. La comida, uno https://t.co/AEnNy1OrCR",0,es,"The more you eat, the more shit you get into the body. Modern society has many black holes. The food, one https://t.co/AEnNy1OrCR  "
27,27,5934,República 70 - Carceleros 57 Mayoría parlamentaria independentista en el Parlament con un candidato en el exilio y otro en prisión. DEP mayoría silenciosa. Seguim. #EleccionesCataluña #Elecciones21D,0,es,Republic 70 - Jailers 57 Independence parliamentary majority in the Parliament with a candidate in exile and another in prison. DEP silent majority. Follow # ElectionsCatalonia # Elections21D  
28,28,5801,– Ha ganado Ciudadanos. – No sabía yo que en Cataluña había tanto fascista. Miedo me da salir a la calle mañana.,1,es,- He has won citizens. - I didn't know that there was so much fascist in Catalonia. Fear gives me to go out tomorrow.  
29,29,1034,Otro cm en busca de engagement a base de estereotipos de género caducos y machistas. https://t.co/NepvDZxO9L,0,es,Another cm in search of engagement based on obsolete and macho gender stereotypes. https://t.co/NepvDZxO9L  
30,30,1927,Puto rojo — Yo soy blanquito :( https://t.co/IInU95yo0r,1,es,Red fucking - I am blanquito :( https://t.co/IInU95yo0r  
31,31,4881,"Uff  Mundo, habrá tongo! :  se inpugnaran mesas, haran LO QUE SEA para humdir el voto independentista.  Listen world: Spanish govt doesn’t allow international Observers at 21D catalan elections!!   #HelpCatalonia https://t.co/UhNujTTkIy",0,es,"Uff Mundo, there will be tongo! : tables will be impugnated, they will DO WHAT IS TO humid the independentista vote. Listen world: Spanish govt doesn’t allow international Observers at 21D catalan elections !! #HelpCatalonia https://t.co/UhNujTTkIy  "
32,32,1986,"""El hecho de no incluir a los hombres en el feminismo es tratarlos como idiotas"" @sharoncalderong @NTNrpa",0,es,"""The fact of not including men in feminism is treating them like idiots"" @sharoncalderong @NTNrpa  "
33,33,4990,Estos son los 17 países que la UE ha incluido en la 'lista negra' de paraísos fiscales https://t.co/ZJ47gMQBbg https://t.co/I6fUNsmAbd,0,es,These are the 17 countries that the EU has included in the 'blacklist' of tax havens https://t.co/ZJ47gMQBbg https://t.co/I6fUNsmAbd  
34,34,4690,Se están preparando por la más que probable victoria del bloque independentista. Trileros. https://t.co/Hyg3yp1kki,0,es,They are preparing for the more than likely victory of the independence bloc. Trileros https://t.co/Hyg3yp1kki  
35,35,5280,"@pnique Resumen: ""el que no nos vota es un nazi y un fascista."" Fascista serás tú, que insultas a todo aquel que no comulga con tus ideas. Quedas retratado. Por eso tu partido está acabado. Por insultar a los españoles",0,es,"@pnique Summary: ""he who does not vote for us is a Nazi and a fascist."" You will be fascist, who insults anyone who does not agree with your ideas. You are portrayed. That's why your game is over. For insulting the Spaniards  "
36,36,3835,@FanaticsBarsa @rosadiezglez @gabrielrufian Rufian es un charnego de Jaén que pronto se verá obligado a arrastrar sacos de aceituna en la tierra de sus ancestros #retratado,1,es,@FanaticsBarsa @rosadiezglez @gabrielrufian Rufian is a charlego from Jaén who will soon be forced to drag sacks of olives in the land of his ancestors #retratado  
37,37,3183,"@jjmuela @drluciter Se creen sus propias mentiras. En Cataluña viven mas moros q en ninguna parte de España, su rel… https://t.co/ukVbYFcKX2",0,es,"@jjmuela @drluciter They believe their own lies. More Moors live in Catalonia than anywhere in Spain, its rel… https://t.co/ukVbYFcKX2  "
38,38,5388,@norcoreano Eres podemita y como tal tienes alergia a las banderas y ¡lo sabes!.,1,es,@ North Korean You are a podemite and as such you have an allergy to the flags and you know it!  
39,39,890,"⚡️ “Trump llama decisión de juez: ""ridícula"" ” @realDonaldTrump  SUBNORMAL https://t.co/MzLpCBxXpr",0,es,"⚡️ “Trump calls judge's decision:"" ridiculous ""” @realDonaldTrump SUBNORMAL https://t.co/MzLpCBxXpr  "
40,40,5638,Puigdemont pulveriza todas las expectativas y lidera el bloque independentista https://t.co/CmwtbEqOHO vía @_infoLibre,0,es,Puigdemont pulverizes all expectations and leads the independence block https://t.co/CmwtbEqOHO via @_infoLibre  
41,41,1224,A veces parece mentira que estudie en la Universidad; en ciertos momentos me da la impresión de que sigo en una ESO para mónguers.,0,es,Sometimes it seems a lie that I studied at the University; At certain times I get the impression that I am still in an ESO for mónguers. 
42,42,2589,Qué daño hizo el puto franquismo. Y cuánto lo sigue haciendo. https://t.co/N7yCseqPs6,0,es,What harm did the fucking Franco. And how much he keeps doing it. https://t.co/N7yCseqPs6  
43,43,2372,@ChBlures @ZdeZombi tolai parguelas comecojones subnormal payaso bocaalcornoque tontopollas pajizo gilipollas cabezabuque,1,es,@ChBlures @ZdeZombi tolai parguelas bite-eater subnormal clown bocaalcornoque tontopollas straw straw asshole headbuque  
