,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,206,@user @user الشعب الايرانى المسلم والذى لا ينحاز الى عبدة ال البيت والفرس .اللهم انصرهم على خنازي… @url,1,ar,@user @user The Iranian Muslim people who do not sided with the slaves of the House and the Persians.  
1,1,1037,ما بدي كون متطفّل، أعتقد أنّهم يأكلون الضّبّ ويتعاطون بول البعير، وكفى ذلك شحار وتعتير. @user,0,ar,"I do not want to be intrusive, I think that they eat lick and take urine from the camel, and that is enough for me to groan and misfortune. @user  "
2,2,415,يعني الاجيال القديمه بنفس المكان و البلد و نفس العادات و التقاليد مسوين طالعين منها عشانها اقليه بالممكله قسم بالله… @url,0,ar,"I mean the old generations in the same place and country, and the same customs and traditions are settled.  "
3,3,550,فيديو كرتوني جميل لوقاية الأطفال من التحرش..,0,ar,A beautiful cartoon video to protect children from harassment.  
4,4,118,تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url @url,0,ar,
5,5,1073,محدش يكلمني عن حقوق الانسان في بلد فيها الخنزير بياكل من الأرض والناس مش لاقية تاكل ويجي واحد ولا في دماغه يقولك ال… @url,0,ar,Nobody talks to me about human rights in a country where the pig has structures on the ground and people do not find eating and no one in his brain says to you ... @url  
6,6,698,كنتِ يومًا مُتبرجَة ... فلا تنظُري نَظرة إستحقَار للمُتبرجَات !,0,ar,You were a fancy day ... Don't look foolishly!  
7,7,362,@user وانت خنزير ماله إلا الشبك ! سلم العالم من ارهابكم بعد الإغلاق ولن يفتح,1,ar,@user You are a hog of money but a net! Peace be upon you from the world after the closure and will not open  
8,8,226,وباخره خنازير,0,ar,And the end of it pigs  
9,9,1055,@user @user الحمار له عقل أما الروافض فلا عقل لهم إمعات يتبعون كل ناعق وكل دجال وكل مهذري فتجدهم يضلوا خلق كثير وهم أضل خنازير,1,ar,"@user @user The donkey has a mind. As for the rejectionists, there is no mind to them.  "
10,10,817,ما زلنا رافضات لوضعنا النظامي بكوننا مواطنات درجة ثانية، تسقط كافة أشكال ولاية الرجل على المرأة في النظام السعودي ف… @url,1,ar,"We are still rejecting our regular status as second-class citizens, all forms of male guardianship over women fall into the Saudi system in ... @url  "
11,11,106,واما بعد الان فقرة التحرش الله يعينه الي تجي عليه عاد بعد ل١٠,0,ar,"As for now, the harassment clause is appointed by God to whom it comes, and he returned after 10  "
12,12,1445,@user كلو التحرش بس هو يعني من 40 سنة مش كان في تحرش,0,ar,"@user Chloe harassment, but it means that for 40 years, it has not been for harassment  "
13,13,805,@user @user ابشرك حتا الحريم بطلو نقل الكلام,0,ar,@user @user Bring the Hatta Harem heroic into the transmission of speech  
14,14,579,ترمب يدافع عن كافانا: إدعاءات التحرش هدفها سياسي,0,ar,Trump defends Kavana: The allegations of harassment are political  
15,15,754,تجسس محارم ديوث دياثة ديوثة كلوت كلو… @url,0,ar,"Cuckold, Cuckold, Cuckold, Clot, Cuckold ... @url  "
16,16,13,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0,ar,"@user @user Clean, we can't add. Where is the student? It is not a shame that someone drinking a camel's urine will teach you  "
17,17,950,@user يعني التحرش مبرر اذا كان في ضحية ؟؟ هاد اللي فهمتو من تعليقاتهن تفو ع هيك مخ بسس ..,0,ar,@user means harassment is justified if it's a victim ?? This is what you understood from their comments.  
18,18,978,@user هو ف سواقة حريم وسواقة رجالة,0,ar,@user is a driver and a male driver  
19,19,1249,سوري ابن حرام هلالي وسخ,1,ar,Syrian Ibn Haram Hilali dirty  
20,20,9,@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1,ar,"@user @user You are the largest homeless. Sell your land and offer, and talk to your Saudi masters, my dog, mercenaries, and a pig.  "
21,21,540,@user @user @user ذنب المجوس,0,ar,@user @user @user Sin of Magi  
22,22,1098,@user @user هذا القرضاوي خنزير ونصاب وقد وجد ضالته في حكام قطر الأغبياء وسيطر عليهم وأخذ من أموال الش… @url,1,ar,"@user @user This Al-Qaradawi is a pig and a quorum, and he found his prodigy in the rulers of Qatar, stupid and took control of them and took from the money of the company ... @url  "
23,23,1044,لازم تاخدها جماهير البيرو علي الحريم المفخدة ال كانو مصدرينهم :d,1,ar,"It has to be taken by the Peruvian fans, on the harem, the luxury of the Cano, their sources: d  "
24,24,92,@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,0,ar,"@user @user @user Even in Western countries, harassment is widespread and women are making a big contribution to this  "
25,25,373,@user @user @user ذكرت لك صفتهم فوق ويخسون لا هم ولا غيرهم أدافع عن خنازير ، ولهذا السبب امنع محارمي من… @url,1,ar,"@user @user @user I mentioned to you their qualities above and fear neither they nor others defend pigs, and for this reason I prevent my mahrams from ... @url  "
26,26,268,@user @user @user تمجد الفرس لان دمك فارسي وسخ وسبحان من فضحكم ع يد ال سعود ..  وباقي بيأدبونك باذن الل… @url,1,ar,"@user @user @user You glorify the Persians because your blood is Persian, dirty and glory to your shame with the hand of the House of Saud ..  "
27,27,1142,@user @user كرة قدم وش دخل الحريم في الموضوع ولا لازم يكون عضوتين او ثلاث عشان يقال عنكم متطورين,0,ar,@user @user Football U and the harem entered the topic and it does not have to be two or three members so we are told about you developers  
28,28,668,مشكلتك التحرش ..اذا موافقه على المهرجان تواجدي فيه و…,0,ar,"Your problem with harassment ... If you agree to the festival, you will be there and ...  "
29,29,597,@user @user خنازير الخليج,1,ar,@user @user Gulf pigs  
30,30,247,مافيش حد يقدر يقول انك بايرة وانا متاكد ان فيه كتير غيري بيحاولو يوصلولك علشان كدة انا اصلا بسألك وقلقان بس عموما ك… @url,0,ar,"There is no one who can say that you are in a family and I am sure that there are many others trying to reach you because that I originally asked you and worried, but generally as ... @url  "
31,31,195,هذا قبل مايحطوا الطوق في عنقه خنازير قطر والقناة .....تحول لكلب نابح شف التحول للكلاب عندما ترمى لهم العظام النتنه.… @url,1,ar,This is before they surround the collar in the neck of the swine and the channel ...  
32,32,1602,@user ولا ساده ولا حاجه دول بلطجيه وطغاه واكثروا ف الارض فسادا . خنازير احفاد خنازير,1,ar,"@user There is no masters, no need for countries that are thugs and tyrants, and add corruption to the earth. Pigs grandsons pigs  "
33,33,665,أنا عارف أن الحريم بجايات وبسرعه يزعلون ، فإذا شفت وحده على خطأ لا تقدم لها نصيحه ..,0,ar,"I know that the harem is coming and quickly hurts, and if you see alone it is wrong and you are not advised.  "
34,34,684,عشان تعرفون أنكم خنازير… @url,1,ar,To know you are pigs ... @url  
35,35,1011,@user يمكن، والحين صارت تنصح الحريم لأن صار عندها خبره,0,ar,"@user can, and then she advised the harem because she had experience  "
36,36,494,انت وسخ اوي اوي ان شاء الله تتفضح ومحدش يسترها عليك اللهم اميين @url,1,ar,
37,37,171,@user @user ثانيا الفرس لم يحتلوا لا سوريا ولا لبنان وانصحك ان تبطل شرب بول البعير حتى ما يصير عندك خلط… @url,0,ar,"@user @user Second, the Persians did not occupy neither Syria nor Lebanon, and I advise you to stop drinking the camel's urine, so that what you have becomes confused ... @url  "
38,38,896,@user @user هذا هو الغلط المفروض اغلاق كافة الطرق ودفن خنازير الحوثي في مجاري الصرف الصحي,1,ar,@user @user This is the mistake of closing all roads and burying Houthi pigs in sewage sewage  
39,39,802,هو ليه كل اصحاب المركز التانى صعدوا ف افريقيا,0,ar,Why is it that all second-place people climbed in Africa?  
40,40,803,@user @user كل طاقم الخنزيرة كللللهم خنازير مسيحية ونصيرية اش دراهم عن الحج والصلاة وكورتلموش يكفيه الميثلية… @url,1,ar,@USER  
41,41,228,فيه واحد خنزير قاعد يعاطس على جهتي وجا شوي بلغم على طاولتي @url,1,ar,"There is one young pig sneezing on my side, and Jia Shui has a mine on my table @url  "
42,42,1104,@user @user باذن الله تستمر الازمه ليوم القيامه حتي يخيس كل خنزير عندكم,1,ar,"@user @user God willing, the crisis will continue until the day of resurrection until every pig in your country locks it  "
43,43,1324,الواحدة فيهن تلقاها بايره عشان كده كفرت,0,ar,"The one in them received it by his own hand, so I atoned it  "
44,44,1584,اليوم كان عندي محاضرة عن نظام التحرش ووحده تناقش الدكتورة قالت لها ممكن تكون البنت جنت على نفسها بالتبرج وكل القاعه… @url,0,ar,"Today I had a lecture on the harassment system alone and the doctor discussed, she said to her, is it possible that the girl reaped herself on the look and the whole room ... @url  "
45,45,576,وحوش و أسود مصر يرسلون 19 خنزير داعشي لجهنم.,1,ar,Monsters and lions of Egypt send 19 ISIS pigs to hell.  
46,46,749,من علامات التخلف أن يبقى موضوع التحرش ما بين مُبررٍ ومُعارض، شيء لا يحتاج لنقاش يتحول لقضية رأي عام!,1,ar,"A sign of backwardness is that the issue of harassment remains between a justification and an opposition, something that does not need a debate that turns into an issue of public opinion!  "
47,47,1667,الكلب لا يعض اذن اخوه كذابين خنازير @url,1,ar,@Url  
48,48,1655,@user كلامك رائع وسليم لكن لماذا لاتتكلم عن عنصرية الفلسطينيين الذين يعايرون ابناء الحرمين في بول البعير و… @user,0,ar,"@user Your words are wonderful and sound, but why do you not speak about the racism of the Palestinians who assimilate the two holy mosques in Paul Al-Baer and ... @user  "
49,49,277,@user @user والله يا خنزير انت وياه يا حثالة يا مشرد انت وياة  كلكم عبيد الفلس,1,ar,"@user @user God is a pig, you and him, you scum, you homeless, and you are all slaves of fils.  "
