,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,1334,"É mta falta de uma louça, de umas roupas pra passar, de um chão de banheiro pra esfregar um pano https://t.co/VTif2nyuNo",1,pt,"It is a lack of dishes, ironing clothes, a bathroom floor to wipe a cloth https://t.co/VTif2nyuNo  "
1,1,776,"@CapitalismoOP eu já morei no maranhão 8 anos, minha mãe é de lá..... eu tomava sempre tb",0,pt,"@CapitalismoOP I've lived in Maranhao for 8 years, my mother is from there ..... I always took it too  "
2,2,2393,"@LeNaZZo, @homemdeverdade mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",1,pt,"@LeNaZZo, @homemdeverdade, you have to have 2 children in 24 territories of your choice ....  "
3,3,3534,"POR QUE DIA 'INTERNACIONAL' DA MULHER?
DEIXA SÓ 'DIA DA MULHER'
TIRA O INTERNACIONAL
MULHER NÃO QUER SE SENTIR REBAIXADA",0,pt,WHY 'INTERNATIONAL' WOMEN'S DAY? LET'S ONLY 'WOMEN'S DAY' TAKES THE INTERNATIONAL WOMAN DON'T WANT TO FEEL DOWN  
4,4,4237,RT @Fagoncalves_: @direitafalando amei esse tt,0,pt,RT @Fagoncalves_: @direitafalando loved this tt  
5,5,421,"@aninha_caraujo @sofiakalap @BiaMontezumaMF sua vida e babar o ovo da Bia , e a bia e feia e gorda !",1,pt,"@aninha_caraujo @sofiakalap @BiaMontezumaMF your life and drooling Bia's egg, and bia is ugly and fat!  "
6,6,5297,tem mulher que e burra invés de seguir em frente anda pra  trás pra cometer o mesmo erro,1,pt,there is a woman who is dumb instead of moving forward walks backwards to make the same mistake  
7,7,2944,"Nem mais! Não gostam, não comam. Façam boa viagem!
#ForçaTrump https://t.co/KVuoX5XC9e",0,pt,"No more! They don't like it, don't eat it. Have a good trip! # ForçaTrump https://t.co/KVuoX5XC9e  "
8,8,5024,"@SarahLSKarafiol São refugiados e eles podem tem o direito de não aceita-los, mesmo eu sendo contra essa ação da Hungria.",0,pt,"@SarahLSKarafiol They are refugees and they may have the right not to accept them, even though I am against this action from Hungary.  "
9,9,3411,"@PauloBotelho87 'Glorificar o sexo'?? Sua família se resume a sexo?? Se é tão trivial, faça sexo c sua mulher no meio da rua então! #idiota",1,pt,"@ PauloBotelho87 'Glorifying the sex' ?? Does your family come down to sex ?? If it's so trivial, have sex with your wife in the middle of the street then! #moron  "
