,Unnamed: 0,text,label,lang
0,1334,"É mta falta de uma louça, de umas roupas pra passar, de um chão de banheiro pra esfregar um pano https://t.co/VTif2nyuNo",1,pt
1,776,"@CapitalismoOP eu já morei no maranhão 8 anos, minha mãe é de lá..... eu tomava sempre tb",0,pt
2,2393,"@LeNaZZo, @homemdeverdade mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",1,pt
3,3534,"POR QUE DIA 'INTERNACIONAL' DA MULHER?
DEIXA SÓ 'DIA DA MULHER'
TIRA O INTERNACIONAL
MULHER NÃO QUER SE SENTIR REBAIXADA",0,pt
4,4237,RT @Fagoncalves_: @direitafalando amei esse tt,0,pt
5,421,"@aninha_caraujo @sofiakalap @BiaMontezumaMF sua vida e babar o ovo da Bia , e a bia e feia e gorda !",1,pt
6,5297,tem mulher que e burra invés de seguir em frente anda pra  trás pra cometer o mesmo erro,1,pt
7,2944,"Nem mais! Não gostam, não comam. Façam boa viagem!
#ForçaTrump https://t.co/KVuoX5XC9e",0,pt
8,5024,"@SarahLSKarafiol São refugiados e eles podem tem o direito de não aceita-los, mesmo eu sendo contra essa ação da Hungria.",0,pt
9,3411,"@PauloBotelho87 'Glorificar o sexo'?? Sua família se resume a sexo?? Se é tão trivial, faça sexo c sua mulher no meio da rua então! #idiota",1,pt
10,2834,Não devia boiar em condições https://t.co/lCcOv1zrgC,0,pt
11,3335,Parabéns ae Gabriel vc merece demais até chorei aq http://t.co/IwYLmNo1vf,0,pt
12,2981,"Nomes não faltam: vigaristas, corruptos, aldrabões, assassinos, vendidos, traidores, pedófilos, aberrações... _ https://t.co/r3eeCZ5d8S",1,pt
13,4127,"RT @DalborgaCoxa: Hoje teve atentado terrorista perpetrado por refugiado muçulmano.
Adivinha quem disse que quer encher o Brasil de refugia _",0,pt
14,693,"Bom dia, companheiros! Como diria a Bárbara Guimarães, hoje, está um frio do Carrilho!",0,pt
15,4404,RT @jmpub: Pronto! Já está escolhido o candidato.. Imagem do presidente do partido.. Lol https://t.co/Wws2zBEjYa,0,pt
16,2458,"'lugar de mulher é na cozinha'
Seus machistas de merda, lugar de mulher é onde ela quiser. Desde q pelada. https://t.co/xhKXOHQLlY",1,pt
17,4324,"RT @girlslkgirls: sapatão raitella, tem como? tem https://t.co/cPHYOylEYz",1,pt
18,815,@carolinaamatos @Fmsamendes @ReallySaraa volta para a tua terra,1,pt
19,2665,@Mih_ArmstrongL @otmar03 ahhh explicado..lesbica..OK mas ta valendo é mulher XX ... mas ainda é massa de manobra do JW. por isso fala merda,1,pt
20,4829,RT @sadcharlott: homem não gosta de mulher homem gosta de feminilidade quem gosta de mulher é sapatão,1,pt
21,59,"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'",0,pt
22,940,"Como se ser gorda te faz ser feia, teu cu",1,pt
23,2947,"Nem um nem outro. Refute o que falei com fatos, lógica e verdades! https://t.co/uF5MFuUazQ",0,pt
24,3248,"Os bebés adoptados são c/ os telemóveis novos:
Qd os vamos buscar desesperamos se os deixamos cair.
Qd vemos 1 defeito,abrimos conta no OLX",1,pt
25,1010,@Curate_Angola não dá pra comparar uma coisa com a outra,1,pt
26,2768,"'Mulheres são minorias em TI e engenharia e outros cursos. O que fazer pra incluí-las neles?'
Deixa que elas escolham esses cursos, simples",1,pt
27,4452,"RT @josesoubrasilia: HORA DE INVADIR O CONGRESSO 
A PM NÃO VAI ATIRAR CONTRA NOS https://t.co/J03AjeGQf0",0,pt
28,3073,"O desejo do homem é pela mulher, mas o desejo da mulher é pelo desejo do homem. Ou mais... #MulherDeVerdade",0,pt
29,1978,"Grande primeira parte.
Continuo a acreditar.
VAMOS CARALHO!
#BVBSLB",0,pt
30,4781,RT @Renato_SVP: @g1 Por que vcs não dizem aos leitores que a revista citada é ULTRAESQUERDISTA???,0,pt
31,3307,O uso de turbantes por pessoas brancas é apropriação cultural? https://t.co/5AHZXH9SZB via @cartacapital,0,pt
32,2258,"jener e gabriela surpresos quando disse que era sapatao
ata more",0,pt
33,1729,@felipetlo @Felipebastos022 gorda e feia só se tiver bêbado,1,pt
34,5045,Se eu ganhasse 1 real cada vez que Bolsonaro falasse alguma coisa que preste https://t.co/HfJKtSFJqM,0,pt
35,2889,Nao sei porque as pessoas assustam quando descobrem que  eu recebo refugiados em Casa... Acharam que eu era ativista de Internet?,1,pt
36,4480,"RT @jpintocoelho60: Razão e coragem contra a infâmia. O medo não passa por aqui!
#PNR #Nação #Identidade
@sosracismo @EsquerdaNet @psociali _",0,pt
37,2422,@LineBalbinotti Fem é agenda da esquerda. Cade a defesa da raquel quando o cara do PT disse pra estupra-la? acorda _ https://t.co/dsV3rsIWTu,0,pt
38,5228,"STF terá que analisar a descriminalização do aborto. Esperamos que reconheçam nosso direito! 
https://t.co/UMYHCXBjTt",0,pt
39,2312,@JPocas27 Está apontado. Obrigado,0,pt
40,396,"@anacarolinars zzzz completou com gorda, feia, só faltou o boba pra ser + 5a série",1,pt
41,4436,"RT @JOAQUINVOLTOU: SOCIOLÓGO CHORA
FILÓSOFO PASSA MAL
CHEGA DE FALA MERDA NA SALA DE AULA
PRA ISSO TEM A REDE SOCIAL",0,pt
42,66,A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17,1,pt
43,5112,#SerMulherÉ fazer xixi sentada,0,pt
44,1601,eu não sabia que com o dia da mulher viria tanta gente burra falar bosta na internet,0,pt
45,1420,Espero que não seja o dia em que os 'refugiados' comecem também aqui sua sharia. https://t.co/UHswA3hGQN,1,pt
46,4708,"RT @PastorMalafaia: UM LEITOR DISSE: a democracia no Brasil presupõe q você ñ tem direito a opinião, a ñ ser, q concorde com a ideologia de _",0,pt
47,2440,lógico que defendo direito das mulheres não usarem burca/hijab porém elas tbm tem direito de usar então não adiana atacar a nike por vender,1,pt
48,1896,"- gente a pec 241 é pra reduzir gastos!!!!
- mas e o aumento de salário dos deputados?
- É CULPA DO PT",1,pt
49,4012,RT @benebarbosa_mvb: Os democratas também boicotaram a posse de Abraham Lincoln. Ele tinha uma ideia maluca de acabar com a escravidão...,1,pt
50,2623,"meninos que nao conseguem dormir porque a galinha da angola da vizinha nao para de gritar, me add",0,pt
51,3961,"RT @AltRightBR: Manifestações pró Trump acontecem nos EUA e mídia ignora, veja fotos e vídeos https://t.co/pB0zn7ltUOhttps://t.co/5MiXsgkd _",0,pt
52,953,Comunicação social portuguesa contabiliza o número de refugiados recebidos Portugal e deixa _ https://t.co/GRgSyvxEA0https://t.co/zELtQiEDu4,0,pt
53,1894,gente a mulher maior cdf na cozinha ainda veio do texas formada #MasterChefBR,1,pt
54,3870,"@Rolandinho @YouTube Que mulher não precisa do feminismo, aquele msm q fala q mulher deve vestir o que quer mas apoia a cultura da burca ?",0,pt
55,1051,decepcionadissimo com o novo BBB,0,pt
56,3936,"RT @alcoolinda: teresa: quero ir ao quintal
toda a gente excepto eu: *ignores*
teresa: é um sitio de fufas
toda a gente: BORA!1!!!!",1,pt
57,2151,"'IMAGINA SE TODO MUNDO SÓ COMESSE ALFACE?' man, a mulher era tão burra que achava que os vegetarianos só comem alface
comazim",1,pt
58,4003,"RT @bazert: Carlos Costa tinha mais que informação sobre o BES mas nunca chegava, hoje há mais que informação sobre o Carlos Costa e tb não _",0,pt
59,5194,sorte de hoje: você não chama ricarda,0,pt
60,2240,"Já podem começar com o mimimi de vocês, suas muxibentas !!!!!",1,pt
61,21,"@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem",1,pt
