,DN,Unnamed: 0,Unnamed: 0.1,text,label,is_about_class,is_about_disability,is_about_ethnicity,is_about_gender,is_about_nationality,is_about_religion,is_about_sexual_orientation,language
0,40,32,32,'Alexandre Acioni vai estudar pra saber o que e comunista Essas medidas do Temer sao pior que comunismo voce e mais um pobre metido a besta que fica repetindo mazelas igual a um papagaio de repeticao',1.0,False,False,False,True,False,False,False,ita
1,75,234,234,'to dizendo que a globo fez e o sergio moro fez boca de urnaeles estao apagando as mensagens',0.0,False,False,True,False,False,False,False,eng
2,90,425,425,'Toma vergonha na cara seu boiola maconheiro infectado',1.0,False,False,False,False,False,False,True,por
3,102,609,609,'e kkkkkkkkkkkkkkkkkkkkkkkkkk Pepe tbm ganhou e fez mais que CR man ',0.0,False,False,True,False,False,False,False,eng
4,131,755,755,'Dinheiro a gente pega com quem tem Nao com quem ta quebrado',0.0,False,False,False,True,False,False,False,por
5,136,588,588,'vamos voltar  anos atras e ver o que ele fez no  x ',0.0,False,False,True,False,False,False,False,eng
6,147,1246,1246,'ela esta fazendo isso para aparecer Nao e gay coisa nenhuma E uma vergonha isso sim',1.0,False,False,False,False,False,False,True,eng
7,167,316,316,'sem mortadela a esquerdinha fica revoltadinha chega a dar do ',1.0,False,False,False,True,False,False,False,ita
8,234,418,418,'Ja fez programa hoje ',1.0,False,False,True,False,False,False,False,eng
9,240,962,962,'tu isso tu aquilo o gauchada boiola kkkk',1.0,False,False,False,False,False,False,True,por
10,250,213,213,'Talvez Luiz vc nao seja bom o bastante para tirar uma nota boa e fica de mimi eu entrei atraves do ENEM e to de boa estudando sem nenhuma conspiracao kk',0.0,False,False,False,True,False,False,False,ita
11,268,365,365,'Estamos exportando mortadela Essa fica de graca  ',0.0,False,False,False,True,False,False,False,ita
12,294,1247,1247,'Volta pra jaula sua macaca vou pegar meu xicote sua preta fudida',1.0,False,False,True,False,False,False,False,por
13,407,1179,1179,'Menor fica minha piroka quanto mais da metade ja ta dentro docusso da sua mae',1.0,False,False,False,True,False,False,False,ita
14,412,44,44,'Mais um pobre metido a besta ja ja fica sem dinheiro e vai sentir falta dos bons tempos',1.0,False,False,False,True,False,False,False,ita
15,487,404,404,'Olha ai Sergio moro ela dando vacilo kkk pega ela pow',0.0,False,False,False,True,False,False,False,por
16,544,762,762,'Esse negro e o seu pai Sua mae deu pra ele quando jovem',1.0,False,False,True,False,False,False,False,eng
17,621,824,824,'Mais dinheiro desviado em   ',0.0,False,False,False,False,False,False,True,por
18,622,384,384,'Esses atos uruguaios com a presenca dela e  importante tanto quanto o preco da banana em Monaco',0.0,False,False,True,False,False,False,False,eng
19,662,1125,1125,'Vai chupar uma banana bixo histerico',1.0,False,False,True,False,False,False,False,eng
20,689,325,325,'Ela ganhou um Oreo do  Tabare e num milenar ritual esquerdista esta oferecendo ao vento ',0.0,False,False,True,False,False,False,False,eng
21,702,48,48,'Martin Sales deixa de ser idiot  agora ninguem pode discordar do temer que e mortadela so nesse pais mesmo que pobre metido a besta defende a direita',1.0,False,True,False,False,False,False,False,eng
22,724,553,553,'So falta essa Judia carcamana ficar com do Leve pra sua casa no lago sul',1.0,False,False,True,False,False,False,False,por
23,65,17,17,#Merkel Wie ist diese Schlampe eigentlich auf die Idee gekommen das Land so tiefgreifend zu verändern? #Merkelmussweg #refugeesnotwelcome,0.0,False,False,False,True,False,False,False,deu
24,107,32,32,"Es nicht die Angst vor #asylanten, sondern die Überfremdung Deutschlands. Und ihr Politiker wisst dieses auch ganz genau!! Es reicht Stopp!!",0.0,False,False,True,False,False,False,False,deu
25,208,290,290,Im übrigen müsste klar sein das die #rapefugees aka IS monkeys die  Absage von #Rosenmontag als  Herausforderung ansehen.  #merkelmussweg !!,0.0,False,False,True,False,False,False,False,eng
