,Unnamed: 0,text,label,lang
0,206,@user @user الشعب الايرانى المسلم والذى لا ينحاز الى عبدة ال البيت والفرس .اللهم انصرهم على خنازي… @url,1,ar
1,1037,ما بدي كون متطفّل، أعتقد أنّهم يأكلون الضّبّ ويتعاطون بول البعير، وكفى ذلك شحار وتعتير. @user,0,ar
2,415,يعني الاجيال القديمه بنفس المكان و البلد و نفس العادات و التقاليد مسوين طالعين منها عشانها اقليه بالممكله قسم بالله… @url,0,ar
3,550,فيديو كرتوني جميل لوقاية الأطفال من التحرش..,0,ar
4,118,تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url @url,0,ar
5,1073,محدش يكلمني عن حقوق الانسان في بلد فيها الخنزير بياكل من الأرض والناس مش لاقية تاكل ويجي واحد ولا في دماغه يقولك ال… @url,0,ar
6,698,كنتِ يومًا مُتبرجَة ... فلا تنظُري نَظرة إستحقَار للمُتبرجَات !,0,ar
7,362,@user وانت خنزير ماله إلا الشبك ! سلم العالم من ارهابكم بعد الإغلاق ولن يفتح,1,ar
8,226,وباخره خنازير,0,ar
9,1055,@user @user الحمار له عقل أما الروافض فلا عقل لهم إمعات يتبعون كل ناعق وكل دجال وكل مهذري فتجدهم يضلوا خلق كثير وهم أضل خنازير,1,ar
10,817,ما زلنا رافضات لوضعنا النظامي بكوننا مواطنات درجة ثانية، تسقط كافة أشكال ولاية الرجل على المرأة في النظام السعودي ف… @url,1,ar
11,106,واما بعد الان فقرة التحرش الله يعينه الي تجي عليه عاد بعد ل١٠,0,ar
12,1445,@user كلو التحرش بس هو يعني من 40 سنة مش كان في تحرش,0,ar
13,805,@user @user ابشرك حتا الحريم بطلو نقل الكلام,0,ar
14,579,ترمب يدافع عن كافانا: إدعاءات التحرش هدفها سياسي,0,ar
15,754,تجسس محارم ديوث دياثة ديوثة كلوت كلو… @url,0,ar
16,13,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0,ar
17,950,@user يعني التحرش مبرر اذا كان في ضحية ؟؟ هاد اللي فهمتو من تعليقاتهن تفو ع هيك مخ بسس ..,0,ar
