,Unnamed: 0,text,label,lang
0,276,@user woke nigger,1,en
1,1101,@user @user @user @user twat.,1,en
2,1027,shut nigger @url,1,en
3,1684,like .... remember nothing us retarded ,0,en
4,892,brexit..... cunt tricking us come back strap vests probably kids blow us up. f @url,1,en
5,275,neophyte nigger: nonsupervisory yet roving,1,en
6,182,@user yeah dodge wager course shitter gig retard go get bruises dad,1,en
7,452,fuck orange twat @url,0,en
8,1615,@user @user non-response lmao. obviously tweet retarded talking spencer hypocritical?,1,en
9,1863,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas @url,0,en
10,962,@user tell twat thinks f*** off. think series great gain lot game watching,1,en
11,1385,fuck that. feminazis outraged ...bring say! @url,1,en
12,59,@user @user yeap....spic wet.,1,en
13,1517,would really love hear good reason illegal immigrants given government assistance. #government #assistance,0,en
14,642,bitch cunt ever date someone talks like that.,1,en
15,1907,@user @user never proven x hit women talent iggy azeala raps like mongoloid @url,1,en
16,241,@user i'd assume entire mongol horde back up. probably nothing.,0,en
17,438,sign true calling cutting grass spic lmao  @url,1,en
18,966,think need personal page ig much ratchet retarded shit can't post ,0,en
19,1270,jamie oliver twat jamie oliver twat jamie oliver twat jamie oliver twat jamie oliver twat @url,1,en
20,852,@user cunt.,0,en
21,359,@user @user @user well say wants immigrants blue eyes call us shithole countr @url,0,en
22,1232,@user luke retarded rotations well. kept josh long time. played zo play stretch.,0,en
23,1195,imagine given birth nigger @url,1,en
24,6,@user cunt embarrassment club,1,en
25,972,#newprofilepic ching chong 100 @url,0,en
26,1722,ashley young manchester united's captain i'm chinaman,1,en
27,1115,guys @user lecturing us acute body types skull shapes....mongoloid?!?!? like shut f bro!!!,1,en
28,1701,@user part script? wants feminazi there! going march dc thursday w/ @url,1,en
29,673,@user wait second ching chong,1,en
30,560,seems odd good ol @user would go nears radical leftist 1995 given fact ayers @url,0,en
31,228,@user diversity general eurafrica particular (((the economist's))) greatest strength,0,en
32,1261,yes one want america turned shithole country. ni saw ms13 guy's caravan. @url,1,en
33,129,@user @user spic polach,1,en
34,1202,get aids test thompson cus' wife's dude faggot! - mr. garrison #southpark,1,en
35,1366,females literally retarded feel good one shit gets annoying,0,en
36,1688,@user let keep look like retard lmao,1,en
37,1138,@user shausha mongol,1,en
38,1920,@user &gt;:^000000 u also speaking ching chong,1,en
39,1595,@user @user he's progressive/neo-marxist. radical leftist wants open borders &amp; mass-migratio @url,1,en
40,236,old guy bangs young twat @url,1,en
41,1272,lmfao like dude y'all network.  man retarded @url,0,en
42,1904,done punched bitch face callin esco spic n dont even play race card,0,en
43,814,radical leftist @user contributor calls @user terrorist sympathizer! he's @user sympathize @url,0,en
44,1767,happy birthday talented mongol!! wish best miss u yie tc gbua  @user,0,en
45,1234,@user canadian model allows ngos groups private individuals sponsor refugees federal intake.,1,en
