,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,760,t'es un peu un gauchiste mais j'aime bien tes tweets et tes retweets — je ne sais pas quoi répondre @url,0,fr,you're a bit of a leftist but I like your tweets and retweets - I don't know what to answer @url  
1,1,838,l'attardé de moroni,0,fr,the late moroni  
2,2,78,@user @user @user @user tu prefere la violence libre à toi. nous préfère qu il fin… @url,0,fr,@user @user @user @user you prefer free violence to yourself. we prefer it to end… @url  
3,3,967,@user oui c est vrai... les lyonnais ne sont pas racistes ils aiment bien les arabes regardez...@url,0,fr,@user yes it is true ... lyonnais are not racist they like arabs look ... @ url  
4,4,913,nouveau - berne : 1500 personnes à une marche contre l'avortement - #suisse #ivg #avortament #bern #ber... @url,0,fr,"new - half-mast: 1,500 people on a march against abortion - #suisse #ivg #avortament #bern #ber ... @url  "
5,5,578,@user @user @user je suis moi même blanc et toute vie j ai traîné avec des renois même si je… @url,0,fr,@user @user @user I myself am white and all life I hung around with renois even if I… @url  
6,6,933,quand demande un gauchiste d'argumenter  @url,0,fr,
7,7,152,j'suis pas un gauchiste mais la il 100% raison. c'est inadmissible @user les poissons ont besoin de plus @url,0,fr,I'm not a leftist but he is 100% right. it's unacceptable @user fish need more @url  
8,8,326,@user je suis origine purement berbèreje retrouve avec un nom et prénom purement arabes! Ça veut tout dire en marre .,0,fr,@user I am of purely Berber origin I end up with a purely Arabic name and surname! It means everything is fed up.  
9,9,714,pour ceux qui douteraient du caractère complotiste et de l'antisionisme délirant d'abdelrahim ali voici un thread… @url,0,fr,for those who doubt the conspiracy and delusional anti-Zionism of abdelrahim ali here is a thread… @url  
10,10,463,sous la direction de genghis khan l’immense empire mongol utilisé un système postal avancé à travers l’empire. #uoim2,0,fr,under the leadership of genghis khan the immense mongol empire used an advanced postal system across the empire. # uoim2  
11,11,528,@user @user l’islamisation en marche ! la pauvreté généralisée partout en france.,1,fr,@user @user Islamization on the move! widespread poverty everywhere in France.  
12,12,964,@user les rebeus tu baises leurs frangines ils sont déboussolés,1,fr,@use rebeus you kiss their brothers they are confused  
13,13,647,@user @user @user @user lol la bonne vielle tactique gauchiste! répondre par une questi… @url,0,fr,@user @user @user @user lol the good old leftist tactic! answer with a question… @url  
14,14,746,Ça m’fume les renois quand ils rigolent ils sont obligés de tapé un 200m sprint @url,0,fr,It smokes me the renois when they laugh they are forced to hit a 200m sprint @url  
15,15,1036,@user @user @user @user @user @user @user des noirs sûrement pas des rebeus c possible.,1,fr,@user @user @user @user @user @user @user black people certainly not rebeus c possible.  
16,16,663,@user @user @user c...est vous qui parlez de vue gauchiste avilissante. pas moi. vous associez cette... @url,0,fr,@user @user @user it is you who speak of a degrading leftist view. not me. you associate this ... @url  
17,17,334,@user quand je suis parti 4 mois en afrique cette année je suis rentré et chienne était toute heureuse donc t’en fais pas,0,fr,@user when i left 4 months in africa this year i came back and bitch was very happy so don't worry  
18,18,204,pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url,0,fr,not sure I am even convinced that #zemmour ... it is the dominant thought of the French except leftists of course c… @url  
19,19,1131,@user @user je suis gauchiste et je reconnais pas du tout dans son nous les gauchistesnalle... @url,0,fr,@user @user I am a leftist and I do not recognize at all in his we the leftistsnalle ... @url  
20,20,161,france :jeudi prochain à la librairie résistances : « les naufragés. l’odyssée des migrants africains etienne du… @url,0,fr,france: next Thursday at the resistances bookstore: “the shipwrecked. the African migrants odyssey from ... @url  
21,21,200,@user @user @user Ça change quoi les chiffres hein ? trois mille migrants ou trois millions de migran… @url,0,fr,"@user @user @user What does the numbers change, huh? three thousand migrants or three million migran… @url  "
22,22,77,kevin il se bat avec tous les rebeus avec une moustache pr mieux froisser berka #verité,1,fr,kevin he fights with all the rebeus with a mustache to better crumple berka # truth  
23,23,1149,@user @user @user merci de confirmer mes dires,0,fr,@user @user @user please confirm my comments  
24,24,59,@user vive les rebeus @url,0,fr,@user vive les rebeus @url  
25,25,825,plus de 60 villes  ont déjà dit oui pour venir en aide aux réfugiés. et la vôtre ? …,0,fr,more than 60 cities have already said yes to help refugees. and yours ? ...  
26,26,454,@user @user je suis végétarienne et n'adhère pas à cette violence fait par le mouvement vegan chacun doit être libre respect svp,0,fr,@user @user I am a vegetarian and do not adhere to this violence made by the vegan movement everyone must be free respect please  
27,27,276,@user mais tout à fait ! tu vois à quel point mon coeur est grand même envers les réfugiés d'une peupla… @url,0,fr,@user but absolutely! you see how big my heart is even towards the refugees of a people… @url  
28,28,471,@user omg j'etais pas pret pour celle la @url,0,fr,@user omg i was not ready for this one @url  
29,29,186,@user @user c est le resultat de l ideologie gauchistequi au nom de l'egalite des chances veut g... @url,0,fr,@user @user c is the result of leftist ideology who wants in the name of equal opportunities ... @url  
30,30,1122,@user @user tu tiens ta cause perdue d'avance,0,fr,@user @user you hold your lost cause in advance  
31,31,632,@user je te jure genre je dis « bah nan j’aime tout » elle dit « nan je pense c’est les renois je te vois… @url,0,fr,"@user i swear to you like i say ""bah nan i love everything"" she says ""nah i think it's the renois i see you ... @url  "
32,32,38,@user @user mairie socialope islamo-gauchiste traitre à la france pour résumer,0,fr,@user @user town hall socialope islamo-leftist treaty in France to summarize  
33,33,694,non ! n'en veut pas de ces migrants économiques ! trop c'est trop . il est plus urgent d'imposer des mesures dr… @url,0,fr,no ! does not want these economic migrants! enough is enough . it is more urgent to impose drastic measures… @url  
34,34,1081,@user remplacez « éducation nationale » par « islam » « pedophilie » par « terrorisme » et « professeur » p… @url,1,fr,@user replace “national education” by “islam” “pedophilia” by “terrorism” and “professor” p… @url  
35,35,499,@user la fois où t’as peter un cable sur une meuf qui t’avais traiter de sale arabe ça comptait pas ?,1,fr,@user the time you peter a cable on a girl who called you dirty arab didn't count?  
36,36,371,délit de solidarité pour cédric herrou dans son combat pour l'accueil et la protection des migrants africains dan… @url,0,fr,offense of solidarity for cédric herrou in his fight for the reception and the protection of african migrants in… @url  
37,37,369,@user @user belle répartie digne d'un enfant de cm2 à base ta maman comme tout les rebeus sans disci… @url,1,fr,@user @user beautiful distributed worthy of a child of cm2 based on your mom like all rebeus without disci… @url  
38,38,922,ptdrrrr le sale arabe @url,0,fr,ptdrrrr the dirty arab @url  
39,39,881,novembre au hourdel le soleil s’attarde les phoques en profitent nous aussi ! @url,0,fr,November at the hourdel the sun lingers the seals take advantage of it too! @url  
