,Unnamed: 0,text,label,lang
0,11940,Gavin is a whole ass bitch like nigga 😂😂😂😂 don't ever come for me and you haven't even hit puberty yet,0,en
1,1936,ICE chief readies national sanctuary city crackdown https://t.co/TN7HFxfKeU#TheICEManCometh#StopTheInvasion #AgainstAllEnemies,1,en
2,9315,Watch: Italian Chef with a shovel beats migrant who threw stones at his restaurant - Free Speech Time - https://t.co/K2QmtT2rTD @ISupport_Israel,1,en
3,1584,Astonishing moment dozens of #illegal #migrants land on packed Spanish beach https://t.co/051gQTWwOw via @MailOnlineThe invasion of #Europe continues 24/7#freeloaders #Africans #islam,0,en
4,5901,I luv a classy bitch but still might fuck a bad whore💰,1,en
5,12069,"Akin to rape victims apologizing to the refugee rapists in EuropeIt's just wrongIf you cannot name the problem, you can't solve the problemThis father is very misguidedAnd it's wrong of the father to blame America for the actions of #IllegalAliens",1,en
6,4201,@DFBHarvard @Godsgirl158 A Santuary City while they support the illegal immigrants &amp; their citizens do without,0,en
7,6273,@glaiveXD WHERE THE FUCK AM I U STUPID CUNT,0,en
8,10288,"@conorduffy_7 If rapefugee takes is what youre looking for to escape the bubble, I can recommend some Free Tommy Robinson Facebook groups",0,en
9,12135,"I'm ""a crazy bitch"" & ""a hoe"" but you were crying for me back a week ago?🤔‼️ crazy",1,en
10,740,"@Damo_is_King @Lilydog12 @Independent_ie @EamonMelia Yeah she is passport/paper Irish = ""New Irish"" = Not real Irish. Why on earth we give out citizenship so easily to non EU people and allow this sort of immigration/population replacement/colonization ",1,en
11,9181,Hating on refugees #refugeesnotwelcome   https://t.co/wUYjMvn0VH #EU #Refugeescrisis #RefugeesWelcome #femalelivesmatter,1,en
12,424,@RealKyleMorris @non99402819 Shut the fuck up ! #BuildThatWall,1,en
13,5796,Find it hysterical that a bitch can't talk shit on me until she moves away🤔🤔scared???🤣,1,en
14,11900,"NIKE's choice of Colin Kaepernick was SOLELY political. If they wanted an NFL face, there are 100s of players more accomplished & more deserving; w/o the baggage. TEAMS don't even want him; he was a LOSER.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst",0,en
15,7227,I started stroking it instead https://t.co/Msr9GptyPL,0,en
16,126,"Let’s talk about immigrants fighting fires - not starting them: https://t.co/T8WJbkBWjA (photo: Marcus Yan, Los Angeles Times) https://t.co/jcLg42tuIg",0,en
17,8420,"#IMayBeAThiefBut but I'm not a mean girl. OK I was once, but is calling my bestie a cunt and a whore so bad? Oh, an… https://t.co/vsyVbszlj4",0,en
18,4913,Talmbout. I was always feeling lmaoo bitch shut up and drop that baby fat before u try and jump on this dick. It got a Weight limit,1,en
19,5976,Says man who suggested an actress reported an historic rape to gain more work - you're a fully paid up cunt - https://t.co/ia9wKnM5Tm,1,en
20,9881,@DonaldJTrumpJr That skank looks good on your arm. You been dating your mom long? She needs to start thinking about some Botox or maybe a full facelift. Lying does that to you!,1,en
21,1172,@timesofindia In fact both Centre/States need to hound out all illegal immigrants &amp;deport them immediately to their Country.,1,en
22,3288,France: Before & After Islamification #DeportThemALL,1,en
23,11871,Idk who niggas play me to be😂 I can show you better than I can tell you thoe bitch,0,en
24,1651,"A group of immigrant fathers, recently reunified with their sons and detained in Texas, have gone on a hunger strike to demand their release via @Reuters https://t.co/fgUUeiIMLi",0,en
25,9103,"As we celebrate @TheAmericanClub's centennial anniversary, we recognize the man that started it all. Believing a worker deserves not only wages, but roses as well, Walter J. Kohler, Sr. (second from left), had a vision to create a home for immigrant workers. #100YearsOfCharm https://t.co/yTSekHFKki",0,en
26,12464,"@BetteMidler @nytimes 45 only hates chain migration when it involves brown people. He also believes that he and his family are special & above having to adhere to the same laws as the rest of us. So, no surprise there! He bought Melania a Genius Visa, so none of them belong here. #SendThemHome",0,en
27,1909,"there are also places on our Arabic, Bengali &amp; Latin American Spanish classes from January. These have been running since Sept, so not suitable for absolute beginners, but great if you want to brush up. Fees from Â£5/hr &amp; all profits go to our free ESOL classes for refugees (2/3)",0,en
28,7127,When the bartender cuts you off https://t.co/xDIT8RYNRu,0,en
29,5896,@xKrisssyyy bitch text me and why tf you ain’t text me back yesterday 🤔 WHORE!,1,en
30,3203,"I just pledged $2,500 for the border wall. Do It#BuildThatWall",1,en
31,5958,@JudgeJeanine YOU MEXI SHITMOUTH UGLY A** BI**H GO FUCK A DEAD DOG YOU TRANNY WHORE CUNT REDSKIN PEICE OF SHIT LEAVE AMER TO AMER WHORE,1,en
32,6094,@Ronnie2K FUCK YOU STUPID BITCH,1,en
33,6837,@ApexContestPrep Dave this is a really solid point. Thanks for supporting #maledominance,0,en
34,7288,"They're replaceable, your time is not",0,en
35,1771,Watch: Muslim migrants attack Swedish woman in front of her children - Free Speech Time - https://t.co/zgTtvlprpU @ISupport_Israel,1,en
36,4193,We welcome refugees  not me !! unless our own people get the same treatment complaints about being locked out and if they are returned to Afghanistan they will be killed really so what is fair about those on waiting lists for housing and NHS who are dying because they can access,1,en
37,7463,When you get to the liquor store with 2 minutes till closing and they're locking the door https://t.co/EcPZKhGS9Z,0,en
38,4443,Spare rooms appeal for eviction-hit refugees https://t.co/BA2KhJdlIU https://t.co/r4GulaJFPN,0,en
39,8102,Teenage whore by hole is my fav song rn! So relatable... I miss my mall slut phase,0,en
40,11474,When I was a young bitch! I swear you hoes couldn't fuck with me! Miami 5 times in one year. From paying $200 for a set of nails .,0,en
41,7932,“They told her they had this hysterical—because I was—hysterical girl on the end of the line that needed to see... https://t.co/7v6b6GnKne,0,en
42,11799,"@marklevinshow , Chuck Todd will not debate you for the same reason that Carrot Top would not fight Mike Tyson in his prime. BOTH Todd & CT w/be decimated & never the same. Which in Todd's case w/be a good thing.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #USA",1,en
43,661,Dominican Immigrant Sexually Assaulted Multiple Girls In New York https://t.co/EbKOe59r1T via @USIACrimeReport Diversity update...,0,en
44,817,Who stop George Soros ??? - he spend about 500 mio. USD to support refugees for Europe. This crowd will destroy Europe - is that what Soros want ??? https://t.co/JFmidfFeiF,1,en
45,8934,You don't have to explain why because a dishwasher the right to speak. Stay in the kitchen,1,en
46,2631,BabiÅ¡ criticises distribution of 450 migrants among #EU states https://t.co/e3ETHU1p4p,0,en
