,Unnamed: 0,Unnamed: 0.1,text,label,lang,translated
0,0,306,Es gibt keine #rapefugees,0,de,There are no #rapefugees  
1,1,319,#rapefugees raus aus Preußen!,1,de,#rapefugees out of Prussia!  
2,2,104,"In Zeiten, in der #Rotherham möglich ist, muss jeder einsehen, dass die #Islamisierung bereits stattgefunden hat!",0,de,"At times when #Rotherham is possible, everyone must see that #Islamization has already taken place!  "
3,3,278,Nicht alle #Sachsen wollen keine #Asylanten. #Tillich + #Gabriel hetzt über eigene Landsleute. Politikdarsteller sind beschämend,0,de,Not all #Saxony don't want #Asylum seekers. #Tillich + #Gabriel rushes over his own countrymen. Political actors are shameful  
4,4,258,"Wir bekommen #Asylanten aufgedrückt, wir bekommen #TTIP vorgesetzt, müssen übelste moderne Propaganda in den Medien ertragen. Wie weit noch?",0,de,"We get # asylum seekers, we get #TTIP put up with, have to endure the worst modern propaganda in the media. How far?  "
5,5,44,"Das #Griechenland,das jetzt alle Beschlüsse zu #Asylanten blockieren will is aber nicht das Land,das quartalsweise Milliarden schnorrt,oder?",0,de,"The # Greece that now wants to block all decisions on # asylum seekers is not the country that billions billions quarterly, right?  "
6,6,20,"Luxushotels werden in #Asylanten Unterkünfte  umfunktioniert , #Deutsche müssen in primitiven heruntergekommenen  Slums leben.#annewill #ARD",0,de,"Luxury hotels are converted into #asylum accommodation, #germans have to live in primitive, run-down slums. # Annewill #ARD  "
7,7,46,"Perlen aus der Redaktionskonferenz - heute Idee für Buchtitel: """"Das Wunder von #Dresden - #Islamisierung ohne Muslime"""" #NoPegida #NoLegida",0,de,"Pearls from the editorial conference - today an idea for book titles: """" The miracle of #Dresden - #Islamization without Muslims """" #NoPegida #NoLegida  "
8,8,312,"#Flüchtlinge & ´#Asylanten  sind perverse #Kinderschänder die jeden Tag in #Deutschland, skrupelos #Frauen & #Kinder vergewaltigen.",1,de,# Refugees & ´ # asylum seekers are perverted # child molesters who rape #Germany #Women & #children every day in #Germany.  
9,9,291,"würden deutsche Soldaten nicht decken an #asylanten verteilen, könnten sie helfen die EU aussengrenze zu bewachen! #merkel rafft das nicht",0,de,"if German soldiers didn't distribute blankets to #asylum seekers, they could help guard the EU's external border! #merkel doesn't get it  "
10,10,339,"Bin gester 2 #Asylanten begegnet beide voll bis oben hin,kamen aus #Afghanistan saufen scheinbar täglich gegen die Langeweile #Fluechtlinge",0,de,"Yesterday I met # 2 asylum seekers fully up to the top, came from #Afghanistan apparently drinking daily against the boredom # Refugees  "
11,11,147,"#schweinefleisch für alle #Flüchtlinge und #Asylanten. Wer saufen kann und Kinder vergewaltigen, braucht keine extra """"Wurst"""" ..Fuck Refugges",1,de,"# pork for all # refugees and # asylum seekers. If you can drink and rape children, you don't need an extra ""sausage"" ..Fuck Refugges  "
12,12,260,"Schleichende #islamisierung """"aus Rücksicht""""kein Schweinefl. Was als nächstes? Frauen, Ungläubige verbannen?#Schweinefleischpflicht sinnvoll",1,de,"Creeping #Islamization """" out of consideration """" no pork fl What next? Banish women, infidels? #Pork obligation makes sense  "
13,13,203,Eine europäische Lösung wird es NICHT geben. Merkel greift nach einem Strohhalm den es nicht gibt.. #Orban #merkel #cdu #rapefugees #cdu,0,de,There will be no European solution. Merkel reaches for a straw that does not exist .. #Orban #merkel #cdu #rapefugees #cdu  
14,14,347,"Schuldige an dem „Flüchtlingsdrama“ konnte endlich identifiziert werden, die Russen sind Schuld, sagt Merkel! #Asylanten #Merkel #BRD",0,de,"Guilty of the ""refugee drama"" could finally be identified, the Russians are to blame, says Merkel! #Asylum seekers #Merkel #BRD  "
15,15,284,"Ich werde #Gutmensch!Seid ihr geschockt?Ich stehe am Flughafen und winke den abreisenden abgelehnt. #Asylanten,und wünsche einen guten Flug.",0,de,"I'm going to be #Good man! Are you shocked? # Asylum seekers, and wish you a good flight.  "
16,16,144,"Unsere Regierung hat den Rotkäppchenkomplex,fütter lieber den Wolf(kriminelle #Asylanten),als die Großmutter(das eigene #Volk) #Merkel #CDU",0,de,"Our government has the Little Red Riding Hood complex, prefers to feed the wolf (criminal #asylum seekers) than the grandmother (their #people) #Merkel #CDU  "
17,17,15,Nach den Wahlen werden wir #Griechenland riesige #Asylanten-Kontingente abnehmen. Wetten?#AnneWill,0,de,After the elections we will take #Greece # huge asylum contingents. Bet? #AnneWill  
18,18,311,#asylanten Wirtschaftsverbände stehen hinter Merkel-klar-pro Jahr+1 Mio Konsumenten.Arbeit billig.Die Kasse klingelt. Bezahlung garantiert,0,de,# Asylum seekers' associations stand behind Merkel-Klar-per year + 1 million consumers. Work cheaply. The cash register rings. Payment guaranteed  
19,19,129,"Was wurde eigentlich aus der Geschichte mit den """"syrischen Ärzten""""? Die #Rapefugees sind ja wohl wahrlich keine Gynäkologen.",1,de,"What happened to the story with the """" Syrian doctors """"? The #Rapefugees are probably not gynecologists.  "
20,20,352,"Die #Industrie hofft ja immer noch auf den #Facharbeiter unter den #Refugees. Ja, die Hoffnung stirbt zuletzt. #refugeesNOTwelcome",0,de,"The #industry still hopes for the # skilled worker among the #Refugees. Yes, hope dies last. #refugeesNOTwelcome  "
21,21,119,#spd fordert auch Unterstützung für arme Deutsche und nicht nur für #asylanten. Abgelehnt! das ist die #cdu von heute.,0,de,#spd also demands support for poor Germans and not only for #asylum seekers. Declined! this is today's #cdu.  
22,22,22,Ausnahmen beim #Mindestlohn sind auch überhaupt nicht mit der #Scharia vereinbar wenn #Moslems betroffen sind. #SPD #CDU #Deutschland,0,de,Exceptions to the #Minimum wage are also not at all compatible with the #Shariah if #Moslems are affected. #SPD #CDU #Germany  
23,23,73,Wenn Ihr #Deutschland so scheiße findet warum wollt Ihr dann möglichst vielen #Asylanten zumuten hier zu leben?,0,de,"If you find #Germany so shitty, why do you want to expect as many asylum seekers to live here?  "
24,24,290,FR hat Teile des #Invasoren lagers #Calais geräumt / GR wird Invasorenlager #Idomeni räumen. Besser spät als nie. #Rapefugees #Invasion,0,de,FR has cleared parts of the #invasor camp #Calais / GR will clear invaders camp #Idomeni. Better late than never. #Rapefugees #Invasion  
25,25,194,#Merkel ist jetzt in der #Türkei. Schnell die Grenzen schließen und die Frau nicht mehr reinlassen! #abmerkeln #refugeesNOTwelcome,0,de,#Merkel is now in # Turkey. Quickly close the borders and no longer let the woman in! # note #refugeesNOTwelcome  
26,26,149,#Islamisierung Wollen wir eigentlich die unübersehbar stattfindende  Islamisierung Deutschlands. Oder hat Pegida nicht doch recht?,0,de,#Islamization Do we really want the clearly visible Islamization of Germany? Or isn't Pegida right?  
27,27,321,"#hjartaberfair #Österreich will Sozialsysteme mit #Asylanten nicht überlasten. Korrekt, was D nicht begreift und Bürgern schadet",0,de,#hjartaberfair # Austria does not want to overload social systems with #asylum seekers. Correct what D doesn't understand and harms citizens  
28,28,205,"Soll der neue Begriff #Asylsuchende jetzt mehr Mitleid hervorrufen als #Asylanten, #Asylbewerber, #Migranten oder #illegaleEinwanderer?",0,de,"Should the new term #asylum seekers now cause more pity than #asylum seekers, #asylum seekers, #migrants or #illegal immigrants?  "
29,29,320,"von einem Turkmenen sexuell missbraucht, x-mal minderjährige Mädchen von #rapefugees sexuell belästigt. #Kiel 2016! #islam #sophienhof [2/2]",1,de,"sexually abused by a Turkmen, sexually harassed underage girls by #rapefugees. #Kiel 2016! #islam #sophienhof [2/2]  "
30,30,59,"Nur, weil's 100mal gesagt wurde, ist es nicht falsch: Ab der Türkei sind Syrer u Iraker keine Flüchtlinge mehr! #refugeesnotwelcome",0,de,Just because it was said 100 times is not wrong: Syrians and Iraqis are no longer refugees from Turkey! #refugeesnotwelcome  
31,31,95,In jeder Stadt sind jetzt tausende neue Muslime!Millionen Muslime brauchen Gebetsräume!Bald werden tausende Moscheen gebaut! #Islamisierung!,0,de,There are now thousands of new Muslims in every city! Millions of Muslims need prayer rooms! Soon thousands of mosques will be built! #Islamisierung!  
32,32,165,#rapefugees laufen sich langsam warm. Kölnerin wird von Flüchtling vergewaltigt. #Obergrenze #armlänge #alaaf #Karneval,1,de,#rapefugees are slowly warming up. Cologne woman is raped by refugee. # Upper limit # Arm length #alaaf #Carnival  
33,33,208,#Frankreich macht ja schon Grenzkontrollen. Haben die wirtschaftliche Einbußen? Nö. #Grenzenzu #FestungEuropa #refugees #refugeesNOTwelcome,0,de,#France is already doing border controls. Do the economic losses? Nope. #Border to #FestungEuropa #refugees #refugeesNOTwelcome  
34,34,214,#ZDFzoom #Flüchtlinge #asylanten diese Reportage sollte ein MUSS sein für Interessierte! 1000 Dank an Frau #Knobel-Ulrich u ZDF,0,de,#ZDFzoom # Refugees # Asylum seekers this report should be a MUST for those interested! 1000 thanks to Mrs. # Knobel-Ulrich u ZDF  
35,35,349,Asylpaket 2..Alles Pseudo Vorschläge um die kommenden Wahlen zu beeinflussen..#Merkel mehr Schein als sein!!! #asylanten,0,de,Asylum package 2. All pseudo suggestions to influence the upcoming elections .. # Merkel more pretense than his !!! #asylanten  
