,Unnamed: 0,text,label,lang
0,3354,يا أستاذ وئام الفيديو من سنين إلي عم يركبلك القصص مش شاطر بعتقد لازم تغيروا على كل حال إنت بدك الفكرة,0,ar
1,3531,مع احترامي لكاتب هالقصيدة مين ما كان بالنسبة الي يلي بهمني لبنان وبيروت وشعب لبنان,0,ar
2,1738,رفيقة هيدي ثقافتن ولازم نرد علين بحسب ثقافتن وأخلاقن,0,ar
3,657,كله بيشبه كله مين بدو يحاكم مين ما في الا؟سلطة الشعب,0,ar
4,3209,و انتوا كم ارهابي ارسلتوا من طرابلس لسوريا و لا نسيانة,0,ar
5,378,اكيد جبران باسيل ،وهل يخفى الدهاء,0,ar
6,883,هيدا جبران باسيل اللي عمل انتخابات مغتربين,0,ar
7,1663,أكتر شي حبيت معاليك والساطور العربي الموجّه هذه إضافه من المئات,0,ar
8,1818,هالاختراع وات دو يو كول ات إن باليستاين,0,ar
9,3555,سعودي عالنوم يا طشم بيكفي هبل لليوم ما بدك تخلي شي لبكرا,1,ar
10,3958,وهل تسمع له ما يقول,0,ar
11,1148,في كم وزير يمكن مش كذابين بس شكل وجُّن ونبرة صوتُن ما بيوحولك إلا بالكذب، خِلقة 😎,0,ar
12,173,يا ريت نفوسنا بجمال ونظافة وطنا شو كان عبالنا المشكلة مش بالوطن أستاذ وئام مشكلتنا بالشعب ثم بالدولة…,0,ar
13,962,هوي ذاتو صدق انو محاولة اغتيال,0,ar
14,668,قبل ما تحكي هالحكي شوفو الشعب اللبناني يلي عم بيموت قدام المستشفيات ويلي مش قادرين ندفع لنعيش ولا ناكل…,0,ar
15,1861,وافسم بالله انك كبير المنافقين هي قطر اللي دمرت سوريا و السعوديه بتعمل ايه بالوطن العربي بالله عليك كم,0,ar
16,2143,شو السر كل ما يعمل جبران باسيل مقابلة مع محطة أجنبية يعطي الحق لاسرائيل بالوجود,0,ar
17,1903,الصقور إجمالا المجموعة الاتية من خلفية شمعونية عراسهم جبران باسيل,0,ar
18,2759,والله لا يكتر خيرك,0,ar
19,3386,منيح في مين بوصللنا صوتنا دون كزب ونفاق الله يخليك بمواجهة الفساد المحتل هالبلد,0,ar
20,817,اه يا هبيلة غنم,1,ar
21,1017,ولدتك امك حرا ايها السامرائي,0,ar
22,89,ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر,0,ar
23,842,فداك كلنا وهاب,0,ar
24,3275,الثانية معاليك ههههه,0,ar
25,2728,هل تعلم يا عزيزي ان كلمة فينيقي كان يستعملها اليونانيون للدلالة على اَي شخص من منطقة شرق المتوسط وان سكان المنطقة ما كانوا يسموا حالن فينيقيين,0,ar
26,1954,له يا غالي نزعتا معنا معقووووول ولا كاتب عدل علوي ولا وزير وحتى سرقو مننا واحد من مدراء عامين حتى ح,0,ar
27,4059,جبران باسيل عار على العرب ككل ماهو الا فرخ مجوسي أبتليت به الأمة العربية,1,ar
28,1046,مش معقول كمية الجهل والغباء والحقد الاعمى بالردود شعب بس بعد ناقصوا الرسن المكاري موجود بس هيك ♂,1,ar
29,2109,شكراً لك على هذا الوصف الإناء ينضح بما فيه,0,ar
30,2038,بخصوص موقف جبران باسيل بالنسبة من العداء مع اسرائيل انه ليس خلاف ايديولوجي اين بيانكم من البحث الذي توعدتم به؟,0,ar
31,2560,هيدا مستواك يا بلا اخلاق هيك بتحكوا معودين عليكن من قهركن تردوا بمستوى,0,ar
32,2932,يا ريت حدابيعملها معالسياسيين عنا بس بدل الصباط صاروخ ارض جو,0,ar
33,3284,وئام وهاب بتعطي قطر كم دولار بغير رأيه وئام دولار,0,ar
34,2608,قطر دويلة الارهاب والشر في العالم,1,ar
35,1015,فشرتي كلكن بتعرفو وحتى أصحابكم اليهود إنّو السيد بس يفول شي هو قد كلامو هذا السيد البطل الشريف,0,ar
36,1657,رسالة لذات ماضية عتيقة والله,0,ar
37,2571,البلد والشركات عم أفلس صحيح لانه في البلد أمثالك ورؤسائك ومن معك,0,ar
38,3755,قد نسمع احدهم يقول كرامة عماد عثمان من كرامة أهل السنة في بلد كرامة الطوائف فوق كرامة الوطن والمواطن,0,ar
39,405,طيّب ليك كتير بتحب سوريا و الاسد و دمشق اذا بتطلع بتعيش فوق بترتاح و بتريحنا و الله ما منزعل جوخ مبيّض,0,ar
40,3334,ولك خلص بقى، خلص والله ارحم حالك، هيدي الصفات صفات معلمك القتل والاجرام والابادة الجماعية، استر على حالك ليستر الله عليك يا زلمي,0,ar
41,474,انو الواحد بيحكيك بل الشرق بترد بل الغرب ، هيدا شعار انتخابي يا روح امك بيحمي لبنان الرئيس القوي وجيشو الوطني لي ولائو للبنان بس,0,ar
42,1134,من يسير في توجيهات المشايخ الأجلاء ينصره الله على كل مستبد,0,ar
43,709,حسب معرفتي بالوزير جبران باسيل ، انا على يقين بانه يقوم بأي شيء يخدم مصلحة لبنان بما في ذلك زيارة سوريا اذا اقتضى الامر خ…,0,ar
44,1265,الله لا يوفقوا,0,ar
45,631,نحتاج الى نفوس جديده,0,ar
46,1050,لا عيني هول لعونيه وتيارهم ماحزرتي شعبيتكم ع اد مجموعه نمل اسود متل قلبك,1,ar
47,161,جبران باسيل، بتحبو او بتكرهو، ما فيك تنكر انو قبضاي وببيض الوج كوزير خارجية سيادي وطني لكن تبقى مشكلتي معه ان حزبه يؤب…,0,ar
48,1529,هو المهم يحكي ويتفلسف ويرمي الفتن بين الناس انسان حقوووود,0,ar
49,1128,وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم…,1,ar
50,277,أن ننسى لا ننسى شهداء الدامور ال الذين سقطوا…,0,ar
51,2448,من كل عقلك بعد في حدا او مرجع كبير بهالبلد؟ من ورا عمايلكم البلد كله بمن فيه صار صغير صغير صغير الله ينتقم منكم,0,ar
52,3645,خدو هالتغريده وروحوا نامو انتزعة السهرة الهارب من العدالة بيحي وزير العدل خبصها مبارح هاجم العدل والعدالة والداخلية,0,ar
53,475,ياريت كلكم مثلل امير قطر يلي نهض بقطر الى مصافي ادول المتقدمة واذا كان على الارهاب فانتم الارهاب بحد ذا…,0,ar
54,676,عاجل جبران باسيل نخص بالشكر أمير قطر الذي كسر الحصار المفروض على بلاده ووصل إلى بيروت,0,ar
55,58,صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,0,ar
56,3172,أريد خطاب واحد للقوات اللبنانية تقول فيه ان الحريرية سياسية كانت خطأ تجاه لبنان وماليته وخطاب واحد عن فساد نبيه,0,ar
57,4116,صدقت يناسبك جدا جدا,0,ar
